,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Isa,AU,-20.7333,139.5,62.37,27,0,16.11,clear sky
1,Nikolskoye,RU,59.7035,30.7861,63.81,98,19,4.76,few clouds
2,Srednekolymsk,RU,67.45,153.6833,76.26,44,100,8.48,overcast clouds
3,Bluff,NZ,-46.6,168.3333,44.8,92,100,22.35,moderate rain
4,Port Lincoln,AU,-34.7333,135.8667,56.64,61,100,8.5,overcast clouds
5,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,85,52,20.51,broken clouds
6,Alice Springs,AU,-23.7,133.8833,53.15,54,0,14.97,clear sky
7,Tuatapere,NZ,-46.1333,167.6833,43.61,94,100,9.73,overcast clouds
8,Ahuimanu,US,21.4447,-157.8378,85.71,75,75,17.27,light rain
9,Rawson,AR,-43.3002,-65.1023,43.77,53,11,16.17,few clouds
10,Kapaa,US,22.0752,-159.319,84.52,71,20,13.8,few clouds
11,Kushmurun,KZ,52.4503,64.6311,67.26,86,57,6.53,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,75.13,73,24,12.1,few clouds
13,Lata,PT,40.1629,-8.3327,76.08,29,100,2.98,overcast clouds
14,Codrington,AU,-38.2667,141.9667,54.01,61,36,12.19,scattered clouds
15,Flin Flon,CA,54.7682,-101.865,77.79,37,62,5.01,broken clouds
16,Vaini,TO,-21.2,-175.2,80.76,74,20,9.22,few clouds
17,Busselton,AU,-33.65,115.3333,55.31,79,20,8.9,few clouds
18,Myaundzha,RU,63.0494,147.1858,71.89,63,100,18.23,light rain
19,Mataura,NZ,-46.1927,168.8643,44.47,98,100,6.91,light rain
20,Jega,NG,12.2175,4.3792,79.02,78,100,6.71,light rain
21,Laguna,US,38.421,-121.4238,100.15,30,0,12.66,clear sky
22,Dunedin,NZ,-45.8742,170.5036,44.44,95,100,22.39,overcast clouds
23,Faanui,PF,-16.4833,-151.75,78.76,66,0,7.81,clear sky
24,Lagoa,PT,39.05,-27.9833,69.04,92,100,9.89,overcast clouds
25,Phonhong,LA,18.5007,102.4166,77.67,93,100,1.83,overcast clouds
26,Provideniya,RU,64.3833,-173.3,50.36,81,0,13.42,clear sky
27,New Norfolk,AU,-42.7826,147.0587,48.92,76,20,2.82,few clouds
28,Hithadhoo,MV,-0.6,73.0833,83.41,72,17,13.62,few clouds
29,Awbari,LY,26.5921,12.7805,81.01,27,0,16.08,clear sky
30,Haimen,CN,23.1935,116.6142,87.69,76,27,3.04,scattered clouds
31,Kula,TR,38.5473,28.6498,63.01,65,0,4.29,clear sky
32,Chokurdakh,RU,70.6333,147.9167,50.86,75,100,7.34,overcast clouds
33,Albany,US,42.6001,-73.9662,75.61,75,2,6.98,clear sky
34,Port Macquarie,AU,-31.4333,152.9167,58.21,63,56,14.29,broken clouds
35,Haines Junction,CA,60.7522,-137.5108,48.15,93,100,1.14,overcast clouds
36,Glenwood Springs,US,39.5505,-107.3248,92.32,27,40,4.61,scattered clouds
37,Nishihara,JP,26.1842,127.7558,91.45,70,20,8.05,few clouds
38,Qaanaaq,GL,77.484,-69.3632,40.98,76,99,3.96,overcast clouds
39,Atuona,PF,-9.8,-139.0333,77.77,78,22,19.6,few clouds
40,Kahului,US,20.8947,-156.47,84.22,73,40,21.85,scattered clouds
41,Ushuaia,AR,-54.8,-68.3,37.06,87,75,9.22,light intensity drizzle
42,Taltal,CL,-25.4,-70.4833,56.43,78,4,1.36,clear sky
43,Airai,TL,-8.9266,125.4092,62.83,62,100,3.76,overcast clouds
44,Tiksi,RU,71.6872,128.8694,36.28,94,100,7.78,overcast clouds
45,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,100,8.05,overcast clouds
46,Gusau,NG,12.1628,6.6614,76.77,80,99,10.38,overcast clouds
47,Dikson,RU,73.5069,80.5464,39.79,83,12,1.54,few clouds
48,Aleksinac,RS,43.5417,21.7078,53.89,53,86,2.13,overcast clouds
49,Paamiut,GL,61.994,-49.6678,41.27,94,82,12.01,broken clouds
50,Hilo,US,19.7297,-155.09,85.28,77,100,12.66,overcast clouds
51,Ponta Do Sol,PT,32.6667,-17.1,68.72,68,48,2.98,scattered clouds
52,Hualmay,PE,-11.0964,-77.6139,61.7,79,2,9.55,clear sky
53,Turukhansk,RU,65.8167,87.9833,47.61,64,100,9.89,overcast clouds
54,Adrar,MR,20.5022,-10.0711,91.44,7,0,7.52,clear sky
55,Kunashak,RU,55.7032,61.5498,63.12,83,36,4.14,scattered clouds
56,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,2.3,clear sky
57,Linhai,CN,28.85,121.1167,91.92,51,100,3.11,overcast clouds
58,Bridlington,GB,54.0831,-0.1919,63.14,82,0,9.35,clear sky
59,Acari,PE,-15.4311,-74.6158,62.69,79,30,2.86,scattered clouds
60,Cidreira,BR,-30.1811,-50.2056,52.61,70,85,7.94,overcast clouds
61,East London,ZA,-33.0153,27.9116,57.56,55,0,6.2,clear sky
62,Punta Arenas,CL,-53.15,-70.9167,37.51,93,100,17.27,light rain
63,Waingapu,ID,-9.6567,120.2641,78.4,60,84,16.28,broken clouds
64,Port Elizabeth,ZA,-33.918,25.5701,46.69,81,0,5.75,clear sky
65,Salacgriva,LV,57.7536,24.3581,60.89,97,30,4.81,scattered clouds
66,Georgetown,MY,5.4112,100.3354,78.89,96,40,3.44,scattered clouds
67,Saint-Philippe,RE,-21.3585,55.7679,67.59,66,79,11.16,broken clouds
68,Cape Town,ZA,-33.9258,18.4232,55.38,91,20,9.22,few clouds
69,Ponta Delgada,PT,37.7333,-25.6667,73.51,94,75,9.22,broken clouds
70,Dalvik,IS,65.9702,-18.5286,44.53,95,100,6.31,overcast clouds
71,Sompeta,IN,18.9333,84.6,79.79,89,100,9.13,overcast clouds
72,Hambantota,LK,6.1241,81.1185,79.14,89,20,10.36,few clouds
73,Khatanga,RU,71.9667,102.5,38.75,84,100,11.07,overcast clouds
74,El Tocuyo,VE,9.7873,-69.7937,71.64,80,100,5.97,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,13,5.99,few clouds
76,Port Alfred,ZA,-33.5906,26.891,57.51,62,0,10.29,clear sky
77,Hermanus,ZA,-34.4187,19.2345,50.81,81,1,10.0,clear sky
78,Cabo San Lucas,MX,22.8909,-109.9124,88.9,42,0,17.27,clear sky
79,Vanimo,PG,-2.6741,141.3028,86.88,59,48,0.78,scattered clouds
80,College,US,64.8569,-147.8028,80.01,47,75,5.75,smoke
81,Maketu,NZ,-37.7667,176.45,64.24,93,100,13.2,overcast clouds
82,Barrow,US,71.2906,-156.7887,37.42,93,100,11.5,overcast clouds
83,Chuy,UY,-33.6971,-53.4616,41.22,82,0,4.97,clear sky
84,Castro,BR,-24.7911,-50.0119,52.12,79,20,1.63,few clouds
85,San Jose,US,37.3394,-121.895,84.85,54,20,16.11,few clouds
86,North Platte,US,41.1239,-100.7654,84.09,45,0,14.0,clear sky
87,Thompson,CA,55.7435,-97.8558,75.36,33,20,3.44,few clouds
88,Saskylakh,RU,71.9167,114.0833,47.28,59,100,13.47,overcast clouds
89,Wuwei,CN,37.9281,102.6414,76.98,43,100,1.92,overcast clouds
90,Jodhpur,IN,26.2867,73.03,79.54,89,100,4.94,overcast clouds
91,Millau,FR,44.0833,2.9167,68.13,54,2,4.0,clear sky
92,Pisco,PE,-13.7,-76.2167,60.85,82,100,11.5,overcast clouds
93,Tiarei,PF,-17.5333,-149.3333,73.42,78,24,11.41,light rain
94,Broome,US,42.2506,-75.833,72.81,73,0,14.97,clear sky
95,Mareeba,AU,-17.0,145.4333,72.48,59,48,2.84,scattered clouds
96,Jamestown,US,42.097,-79.2353,72.99,68,100,5.75,overcast clouds
97,Mehamn,NO,71.0357,27.8492,67.95,64,100,12.66,overcast clouds
98,Constitucion,CL,-35.3333,-72.4167,49.46,82,39,6.91,scattered clouds
99,Yellowknife,CA,62.456,-114.3525,70.32,52,75,0.0,smoke
100,Avera,US,33.194,-82.5271,78.85,77,100,3.8,light rain
101,Subate,LV,56.0062,25.9076,51.13,99,31,5.73,scattered clouds
102,Kpandae,GH,8.4689,-0.0113,72.18,95,68,6.53,broken clouds
103,Sur,OM,22.5667,59.5289,87.35,73,99,3.06,overcast clouds
104,Champerico,GT,14.3,-91.9167,80.74,76,94,6.8,overcast clouds
105,Lamballe,FR,48.4676,-2.5144,70.74,86,23,2.89,few clouds
106,Santarem,BR,-2.4431,-54.7083,78.93,94,40,2.3,thunderstorm
107,Eston,CA,51.1501,-108.7514,84.92,32,100,10.49,overcast clouds
108,Opuwo,NA,-18.0607,13.84,59.29,38,0,6.53,clear sky
109,Bredasdorp,ZA,-34.5322,20.0403,46.94,90,2,5.01,clear sky
110,Matagami,CA,49.7502,-77.6328,60.91,67,0,13.8,clear sky
111,Sobolevo,RU,54.4299,31.8996,54.39,83,100,16.04,overcast clouds
