City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2022-07-10 02:52:56,-37.6167,-73.65,48.15,84,35,10.65
1,Castro,BR,2022-07-10 02:52:57,-24.7911,-50.0119,53.83,84,67,3.74
2,Yagodnoye,RU,2022-07-10 02:52:57,62.55,149.6667,71.44,49,45,6.13
3,Lar,IN,2022-07-10 02:52:58,26.2039,83.9717,93.24,49,3,11.83
4,Vaini,TO,2022-07-10 02:52:58,-21.2,-175.2,77.16,73,20,12.66
5,Hayden,US,2022-07-10 02:52:58,47.766,-116.7866,77.04,36,0,10.36
6,Chuy,UY,2022-07-10 02:52:59,-33.6971,-53.4616,61.86,91,92,13.15
7,Barrow,US,2022-07-10 02:48:02,71.2906,-156.7887,55.42,71,0,11.5
8,Waldoboro,US,2022-07-10 02:52:59,44.0954,-69.3756,60.53,69,3,4.7
9,Hobart,AU,2022-07-10 02:53:00,-42.8794,147.3294,54.23,68,75,11.5
10,Mataura,NZ,2022-07-10 02:53:00,-46.1927,168.8643,46.47,65,19,2.06
11,Cabo San Lucas,MX,2022-07-10 02:49:37,22.8909,-109.9124,92.5,70,68,12.01
12,Saint George,US,2022-07-10 02:52:04,37.1041,-113.5841,102.79,10,0,11.5
13,Ostrovnoy,RU,2022-07-10 02:53:01,68.0531,39.5131,49.59,84,76,4.83
14,Codrington,AU,2022-07-10 02:53:01,-38.2667,141.9667,56.03,62,36,9.08
15,Atuona,PF,2022-07-10 02:53:02,-9.8,-139.0333,77.85,76,11,17.27
16,Punta Arenas,CL,2022-07-10 02:53:02,-53.15,-70.9167,24.91,80,20,6.91
17,Hilo,US,2022-07-10 02:53:02,19.7297,-155.09,85.28,88,50,5.01
18,San Patricio,US,2022-07-10 02:53:03,28.017,-97.5169,86.18,74,98,12.88
19,Busselton,AU,2022-07-10 02:53:03,-33.65,115.3333,57.69,60,95,13.53
20,Mlonggo,ID,2022-07-10 02:53:04,-6.5333,110.7,84.24,59,76,3.87
21,Berlevag,NO,2022-07-10 02:53:04,70.8578,29.0864,55.35,76,100,0.0
22,Tsabong,BW,2022-07-10 02:53:05,-26.0217,22.401,54.55,44,0,11.99
23,Rodeo,US,2022-07-10 02:53:05,38.033,-122.2669,78.21,69,0,1.99
24,Port Macquarie,AU,2022-07-10 02:53:05,-31.4333,152.9167,61.36,61,3,11.77
25,Albany,US,2022-07-10 02:51:01,42.6001,-73.9662,62.69,81,2,5.37
26,Cape Town,ZA,2022-07-10 02:53:06,-33.9258,18.4232,57.38,88,75,9.22
27,Avarua,CK,2022-07-10 02:53:06,-21.2078,-159.775,75.25,60,75,9.22
28,Beloha,MG,2022-07-10 02:53:07,-25.1667,45.05,57.56,72,0,7.45
29,Hermanus,ZA,2022-07-10 02:53:07,-34.4187,19.2345,45.81,80,46,4.63
30,Ushuaia,AR,2022-07-10 02:53:08,-54.8,-68.3,29.86,80,40,13.8
31,Klyuchi,RU,2022-07-10 02:53:08,52.2667,79.1667,73.08,60,18,8.16
32,Ponta Do Sol,PT,2022-07-10 02:53:08,32.6667,-17.1,73.13,59,2,3.47
33,Tasiilaq,GL,2022-07-10 02:53:09,65.6145,-37.6368,39.69,80,100,3.18
34,San Antonio,US,2022-07-10 02:50:10,29.4241,-98.4936,95.61,32,0,6.91
35,Bar-Le-Duc,FR,2022-07-10 02:53:09,48.75,5.1667,55.78,87,36,9.89
36,Sanmenxia,CN,2022-07-10 02:53:10,34.7747,111.1814,93.56,52,100,14.97
37,Faanui,PF,2022-07-10 02:53:10,-16.4833,-151.75,78.3,72,68,18.79
38,Bluff,NZ,2022-07-10 02:53:11,-46.6,168.3333,46.8,67,27,2.44
39,Waiouru,NZ,2022-07-10 02:53:11,-39.4833,175.6667,43.97,89,89,4.21
40,Jamestown,US,2022-07-10 02:48:47,42.097,-79.2353,64.04,55,0,6.91
41,Zyryanka,RU,2022-07-10 02:53:12,65.75,150.85,67.73,46,12,9.24
42,Kula,TR,2022-07-10 02:53:12,38.5473,28.6498,58.95,92,9,3.74
43,Ngunguru,NZ,2022-07-10 02:53:13,-35.6167,174.5,63.81,74,100,3.27
44,Bengkulu,ID,2022-07-10 02:49:20,-3.8004,102.2655,82.76,65,88,7.16
